2020-01-28 22:34:26 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: #gh-search-input'for time : 10
2020-01-29 01:19:46 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:19:46 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:19:46 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:19:46 INFO  Homepage:50 - log in to the app
2020-01-29 01:19:47 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_19_47.png
2020-01-29 01:19:47 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:19:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:19:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:19:56 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:20:03 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: fieldset[name='Price']>ul>li>div>div>div>label>div>input]for time : 10
2020-01-29 01:32:08 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:32:08 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:32:08 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:32:08 INFO  Homepage:50 - log in to the app
2020-01-29 01:32:10 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_32_09.png
